country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-03-2026 15:00,14.675886,77.593027,OZONE,32,32,32
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",11-03-2026 15:00,16.711754,81.092095,NO2,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-03-2026 15:00,16.5150833,80.5181667,PM2.5,12,71,49
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-03-2026 15:00,16.5150833,80.5181667,CO,10,36,14
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",11-03-2026 15:00,16.186555,81.13219,PM2.5,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",11-03-2026 15:00,22.08815,82.13737,PM2.5,56,128,78
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",11-03-2026 15:00,22.08815,82.13737,NO2,18,140,44
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",11-03-2026 15:00,22.118125,83.140608,NH3,4,4,4
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",11-03-2026 15:00,22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",11-03-2026 15:00,22.368195,82.746431,CO,15,49,27
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",11-03-2026 15:00,22.348441,82.549611,SO2,8,63,32
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",11-03-2026 15:00,22.348441,82.549611,CO,15,34,30
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",11-03-2026 15:00,22.348441,82.549611,OZONE,2,4,3
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",11-03-2026 15:00,22.12665,83.483212,PM10,74,401,170
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",11-03-2026 15:00,22.12665,83.483212,OZONE,3,60,36
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",11-03-2026 15:00,22.1910172,83.5197009,PM2.5,82,143,109
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",11-03-2026 15:00,26.1403345,85.3650192,PM10,63,75,71
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",11-03-2026 15:00,26.1403345,85.3650192,NH3,1,2,2
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",11-03-2026 15:00,26.1403345,85.3650192,SO2,6,16,9
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",11-03-2026 15:00,25.586562,85.043586,PM2.5,49,106,79
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",11-03-2026 15:00,25.586562,85.043586,NH3,10,12,11
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",11-03-2026 15:00,25.592539,85.227158,PM10,117,157,142
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-03-2026 15:00,25.610369,85.132568,NO2,1,2,2
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-03-2026 15:00,25.610369,85.132568,CO,6,40,17
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-03-2026 15:00,25.610369,85.132568,OZONE,47,49,48
India,Bihar,Patna,"Muradpur, Patna - BSPCB",11-03-2026 15:00,25.619651,85.147382,PM2.5,151,305,213
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",11-03-2026 15:00,25.560083,87.553265,OZONE,5,46,17
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",11-03-2026 15:00,26.0881305,87.93840336,PM2.5,25,153,59
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",11-03-2026 15:00,26.0881305,87.93840336,OZONE,31,34,32
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",11-03-2026 15:00,27.308328,84.531742,PM10,96,161,125
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",11-03-2026 15:00,27.308328,84.531742,NO2,1,4,2
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",11-03-2026 15:00,26.63086,84.90051,OZONE,2,5,4
India,Bihar,Munger,"Town Hall, Munger - BSPCB",11-03-2026 15:00,25.376776,86.471523,NO2,4,5,5
India,Delhi,Delhi,"Alipur, Delhi - DPCC",11-03-2026 15:00,28.815329,77.15301,CO,16,96,37
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-03-2026 15:00,28.695381,77.181665,SO2,24,57,39
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",11-03-2026 15:00,28.695381,77.181665,OZONE,1,91,54
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",11-03-2026 15:00,28.4706914,77.1099364,PM2.5,68,342,192
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",11-03-2026 15:00,28.4706914,77.1099364,PM10,120,404,212
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",11-03-2026 15:00,28.4706914,77.1099364,NO2,6,84,39
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",11-03-2026 15:00,28.4706914,77.1099364,CO,2,104,40
